"JOB1","DEM1","DEM2","DEM3","DEM4","DEM5","FAM1","FAM2","FAM3","FEED1","FEED2","FEED3","FEED4","FEED5","FEED6","FEED7","FEEDBACK"
"Engineer who works to develop methods of making systems more environmentally friendly.","Female","White","19","Unemployed looking for work","Some college, but no degree","Somewhat unfamiliar","Yes","Very familiar","I think the AI would be a really interesting way of interviewing and if it correctly set up then it would just be another way of hiring people for a job. ","I think that there are flaws in both AI and human which could both cause my identity to be threatened such as the robot not showing facial expressions when a person is talking and it is hard to see the relational aspect in that form of an interview. The human interview could be more bias because of a persons subconscious beliefs which could interfere with hiring a person. ","I feel like both methods could be a way of interviewing people for a job. Honestly, I would understand why people would fear the idea of a robot hiring a person. What a company could do to reduce even more bias would be to have a person first interview with a human and then also interview with the AI to compare and pick the best that overlaps with both the human and AI choices. ","I was a little confused if we were just supposed to imagine the questions which makes sense. It was very theoretical which was what the idea might of been. I was just a little confused because there were questions later that asked about the quality of the interview questions which I didn't know. ","I feel as if the information given made me well informed besides the aspect of the interview questions. ","I wouldn't change anything. ","I would say both because there will always be bias in human interviews, but using both could create more aid in the hiring process. ",""
"data analyst","Male","Prefer not to respond","20","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat unfamiliar","Some questions which I cannot answer them quickly or correctly.","Yes, because they are not correct in some places. ","It was, because it could show my skills and presentation, and it could let me know the job more.  ","Yes.","Nothing","Nothing","Yes, it maybe have AI and human interview. ",""
"Obstetrician","Female","White","20","Employed part time,Student","Some college, but no degree","Very familiar","Yes","Familiar","being graded by AI gave me concern because it does not look at the person as a whole but rather if they just say key words","yes","I think it is hard to hire someone without getting the feel of the person and how you flow together in a room. You will be working together, you need to make sure your personalities match well not just that you say the right things in a interview","it was good","none","none","both",""
"PR Manager in the Luxury Fashion Industry","Female","White","20","Student","Bachelor's Degree","Somewhat familiar","Yes","Very familiar","Regarding the first one, I feel as if there is a high potential for biased judgement since one interviewer takes notes that will then decide if you move forward in your application process; regarding the second one I feel as if the interaction between interviewer and interviewee goes missing which I think is important so that the employer can get a better idea of the person","yes","I think you have to test both skills and personality when hiring a person. Skills should be tested by generalized tests that can be measured, but a judgement of  a person's character requires personal interaction","Yes, it made sense","What kind of questions were asked","/","Yes, I already have",""
"PR Representative for a 5-star upscale steakhouse","Female","White","22","Employed part time,Student","Some college, but no degree","Familiar","Yes","Very familiar","The AI one is just not very collaborative, and it doesn't really allow the interviewee to express their body language and voice effects in their responses.","My excitement and enthusiasm for the job could be threatened a little ","I just feel like it gave a very plain view of every interviewee because expressions weren't allowed to be considered with the employer's decision.","The interview process was very easy to understand for me","Maybe the part of the interview where the employer asks the interviewee to tell him/her a little bit about themselves. I've always had interviewers ask me that before the questions start.","Have the interviewers ask the interviewees to tell them a little about themselves before they start asking questions","Yes",""
"Physician","Male","White","20","Employed part time","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","Neither gave me any concerns","Yes","I believe that in order for a physician's ability to really be tested, you can't just ask them typical interview questions but you might have to dig deeper into their specific skills and qualifications. I feel that some aspects of the second interview, were just too simple in my opinion. As far as questions in the study, I believe that some of the questions asked were quite vague, specifically the ones asking about how I think ""employees recommend the company."", or ""recommending the company to friends"". Based on the information I was given, I was left making a lot of assumptions from very limited information which is why for most answers I chose something in the middle.","I would say that one of the majors ways this study could be easier to consume is if you could: 1) Go back and analyze how each interview was conducted, instead of only being able to look at the interview once and then not being able to return to see how it was formatted. 2) Reformatting the questions. On some questions, I found myself being confused, and making assumptions based on the limited information I was given, and therefore my answers were either somewhere in the middle. Some of the other questions were just reiterated questions from the prompt of the interview, and I felt it wasn't really about how I felt about the interview but rather they were ""asking"" about an objective aspect of the interview process presented.","Examples of the kinds of questions asked","How the interviews are explained and what questions are asked about them","Human only",""
"Personal Assistant","Male","Asian","18","Student","Bachelor's Degree","Somewhat familiar","Yes","Somewhat familiar","nothing","no","I was asked about a topic from different angles","Yes","nothing","nothing","Yes",""
"Model","Male","White","18","Unemployed not looking for work","Some college, but no degree","Somewhat familiar","Yes","Familiar","That the AI may not take not account of some personable things you may have to offer which may be seen through an in-person interview making the interviewer like you more. ","No","I think that both ways in interviewing are good, but obviously the AI interviewing may be risky as in specific wording may make or break your decision. Being able to ask questions is a must in an interview and if that is not offered then that isn't right. ","Yes","None","Nothing","Both ",""
"Dentist","Female","White","19","Employed part time,Student","High School or GED","Somewhat unfamiliar","Yes","Somewhat familiar","I did not like the video interview. It is not personable. You were unable to ask questions. Your responses cannot exceed a certain time limit.","No","I do not feel the video was a good assessment of my ability because it is hard to speak from the heart when you are speaking to a computer.","The in-person video made sense. ","Two-way communication","Nothing","Yes, especially post-COVID. ",""
"epidemiological researcher","Female","White","18","Unemployed looking for work,Student","Some college, but no degree","Somewhat familiar","No","Unfamiliar","The first interview felt so structured. Although it was just hypothetical I always imagined interviews as more of a conversation. It did not seem like you could ask questions. For the other interview setup I was mostly concerned with not being able to ask another person questions. I think the ability to change answers was great and the ability to review what you said was good but the lack of facial expression and emotional reading was also concerning. Also, if someone was bad with technology (tech gap from age or access) the second interview would feel very inaccessible.","Possibly some of my artistic editing or the data analysis which is a large part of my degree","I think both interviews had pros and cons. The first interview allowed for a more personal and emotional interpretation of answers. However, it was also fairly structured and did not leave that much room for questions. The second interview was great because you could retry in order to give the best answers possible but there were still flaws. There is no true understanding of context in we are just looking for key words in an applicants ""script"".","It made sense.","Maybe if there were any trouble shooting plans available for the AI interview. What if you were not tech friendly? Would this pose as a barrier or would there be assistance?","Nothing currently","Mostly real world but I could see a future of AI interviews especially for more basic jobs such as a lab technician.",""
"I would like to be a software engineer at a large company, possibly a part of FAANG. ","Male","Other","19","Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","I think the automated grading from the first interview was a little weird. I think for very big companies with way too many applicants to filter through this process is probably okay. However, if the interview is more serious or at a smaller company I think person to person interviews are more accurate and also let a person show their people skills in an interview which are very important for almost every job. ","No, I don't think so. ","I think interviews in general are not a very accurate depiction of ability. Showing your abilities takes more than just an hour I think interviews don't show a person on full display. However, I do understand why they are done this way because companies don't have time to sit with people for weeks to learn who they really are. That is why I did not necessarily agree with the interviews being an accurate assessment, but do somewhat agree because they are a good tip of the ice berg assessment. ","It all made sense. ","I think all necessary information was provided. ","I would not change it so much as expand upon it. You could actually take people and put them through mock interviews like the ones described in this study and there ask similar questions after to see if the responses are similar. ","I would experience a mixture of both depending on how far in the interview process I get. ",""
"Chief Financial Officer","Male","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","The traditional interview seems normal, but the other one sounded less stressful because you are only recording yourself talking, and not in an actual interview with an interviewer.","No","I was more favorable of the traditional interview because you are talking with an actual person.  I was less favorable with the AI one because of not being able to talk with an interviewer.  I do not think the AI was an accurate assessment because one would be more relaxed than in a traditional interview.","The traditional interview process was very easy to understand, but the AI process was a bit confusing due to all of the information provided, so maybe try to cut down on the information.","None","Making the AI process easier to understand because some people might be very unfamiliar with it.","I would experience mainly human interview processes.",""
"Working in Human Resources ","Female","Asian","23","Unemployed not looking for work,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The AI interview gave me concerns about having one-on-one conversations with an interviewer and not being able to ask questions during the interview. ","I don’t think it would be threatened but maybe beneficial. ","I believe that the AI interview can’t accurately assess my abilities because it is only basing my abilities off my answers and not my personality. ","The process was explained very well in the story. ","Nothing. ","I would change maybe some personal reactions for the in-person interviewers. They seemed strict and to the point, while the receptionist was able to greet you nicely. ","I would experience an in-person interview for sure and maybe AI interviews will become a thing in the future. ",""
"CEO","Female","Asian","18","Student","Bachelor's Degree","Somewhat familiar","Yes","Somewhat familiar","None of it. ","Yes, definitely. ","I've done some interviews, and they always follow the same traditional format, so it was a little simpler to create that scenario and be present in it.","I was able to understand. ","I don't think anything was overlooked.","I would not change anything. ","I'd say I'd most likely go through a traditional interviewing procedure.",""
"software developer","Prefer not to respond","Prefer not to respond","19","Unemployed not looking for work,Student","Some college, but no degree","Somewhat familiar","No","Unfamiliar","The second interviewer taking notes on paper could be interpreting the answers in their own way. What gets sent to HR won't be completely accurate.","","The AI interview might not be completely familiar with the way some people talk, it might misunderstand them. The second interviewer has an actual perception of you, so it's already not going to be completely accurate.","It made sense.","","","I never considered I would be interviewed by AI.",""
"My dream job is to be an astronaut","Male","White","20","Student","Some college, but no degree","Familiar","Yes","Somewhat familiar","The first interview is better at being fair and unbiased, but doesn't do a great job showcasing skills as getting to try over and over again for each question kinda seems open to someone bending the truth. The second interview seems more efficient at displaying someone's skills, but is open to bias as who knows what the interviewer is thinking or what biases they hold.","Probably not","The AI interview is easier to cheat as you can say whatever you want and just try and try again in order to formulate the perfect answer. The 2nd interview is better for skill assessment because you can't change your answer but you can clarify or add to it. ","Yes it made sense, and I probably wouldn't change anything","I guess more information about the scoring for the AI, and more information about my interviewer","Nothing","I would probably experience the human interview.","I don't have any questions"
"Successful Restaurant Owner ","Female","White","18","Employed part time","Some college, but no degree","Somewhat unfamiliar","Yes","Very unfamiliar","Interviewing with a robot","Yes, my use of humor in my speech","Because its a very prepared and rehearsed response ","it made sense","none","in person","no probably not AI",""
"Social Media Manager","Female","White","19","Unemployed looking for work","Some college, but no degree","Unfamiliar","Yes","Very familiar","The AI interview is something I don't have any previous experience. I would be hesitant to interview with a company if I knew that a computer would be scoring my answers and might not know what to say.","I think the in-person human interview could include more bias or judgement than the AI interview","I feel that the AI interview is something I would need to learn more about before I did an interview for a job this way.","I thought the interview descriptions were very easy to follow.","N/A","I would include a third interview where you are being interviewed online, but by another human and not AI. I would do this because this kind of interview has become a lot more common recently.","I think my dream job would likely involve only the human process and not AI because the job requires me to have good interpersonal communication skills.",""
"Interior Designer","Female","Asian","18","Employed part time,Student","High School or GED","Somewhat familiar","Yes","Familiar","Not speaking to an actual person - only using recorded videos seems odd and out of the ordinary for a traditional interview process. ","Possibly","Being assessed by AI, there are programs looking for specific topic points - what you are saying might not meet those standards programmed to the AI. However, just because the AI doesn't consider that thing you mentioned to be an asset a real interviewer might see that characteristic as an asset ","Yes, it made sense to me. However, I don't agree that interviews should be assessed by AI rather than a real life human/interviewer","The types of questions that would be asked","Mentioning what the AI is looking for/ how it is assessing a person and the types of questions being asked. ","I think in the real world I would only experience a human interviewer ","N/A"
"Physical Therapist ","Female","White","18","Employed part time","Some college, but no degree","Very unfamiliar","Yes","Somewhat familiar","I didn't like that you could change your answers for either of the interviews. I also didn't like the recording one because it was no two-way interactions.","I think that over the computer you can't really be judged as much because you can retake the video multiple times.","I think that an interview should be in-person and you should not be able to change your answer because in a job you are put under pressure. I think that maybe if the job didn't have to deal with people it could be a different situation.","I do think it made sense. I think that maybe more information about what questions were asked would be helpful to the survey.","The questions asked in the interview ","I would put more details about the questions ","No, I think I would only experience human",""
"Clothing Boutique Owner","Female","White","19","Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","None","I think I am fortunate enough that I wouldn't have to worry about this.","I think interviews can somewhat gauge your fit for a certain position but they can't guarantee that you will excel in the position.","Yes","None","Nothing","I think for my career path in the fashion industry I would be more likely to have human interviewers. ","None"
"Sports Marketing Manager","Male","White","19","Student","High School or GED","Familiar","Yes","Very familiar","The first interview felt less personal to me.","Yes","The interview asked solid questions that did a pretty good job of getting to know who I am.","Split up the interview process into two parts.","None","The presenting of the information.","Yes",""
"My dream job would be to design skis as and industrial designer","Female","White","19","Employed part time,Student","Some college, but no degree","Very unfamiliar","Yes","Very familiar","The second interview scenario, the one with AI, seems very impersonal and does not offer much opportunity for asking further questions or two-way communication which is something that I value when I'm going through an interview process.","Yes, I think that the AI judgment would not be able to accurately capture who I am as a person. Similarly I think the first interview process should also take into consideration how a candidate behaves during the interview and not just their answers so that they can have the full picture of a person recorded for reflection.  ","Without considering someone's personality you are putting the work environment at risk because even if someone has all the qualities you are looking for on paper, if they have a bad personality it can be very damaging to the work environment. I also feel that the AI interview does not leave much room at all to accurately assess a candidate. ","The explained process was very clear and easy to follow","What type of questions were being asked and whether or not the company was of good quality","I would add additional information about the companies and questions being asked when explaining the interview process","I think I would only experience the human interview process if I were applying for a job in the real world",""
"Show runner for animated TV Show","Male","Prefer not to respond","18","Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","","yes","no on the job test of ability","it made sense","nothing","Shorter story","I think I would only experience Human interviews",""
"Artist","Female","Asian","18","Student","Some college, but no degree","Somewhat unfamiliar","No","Unfamiliar","I said my dream job an ""artist"" and I feel like that is a more portfolio valued job, and these interviews are more communication related but not evaluating my artistic skills.","Yes, like logical thinking skills, language skills, communication skills, all of them can somehow be judged by AI or human.","Because I can get very very stressful as talking to strangers, I think my performance during any interviews would only be up to 60% of my real skill.","yes it make sense, but it's sad as I cant go back to the first story to double check some details, I think i was reading too fast on that page.","the clothing the interviewer wear? The user interface design of their software(of the AI one)? I think it matters to me if they are dressing formally, and if they have an up to date interface, which reflects a lot of things","maybe a video demonstration would be better than the reading","I think I would only experience the human one as AI can hardly judge random art",""
"Biomedical Engineer ","Female","White","19","Student","Bachelor's Degree","Somewhat unfamiliar","No","Unfamiliar","The video interview being scored by an algorithm is very concerning. ","I don't think so. ","I feel the online interview was not an accurate assessment of my abilities because their was no person to person interaction with a person from the company.","Yes, it did. ","Nothing","Nothing","I think I would experience human, but not artificial intelligence, in a future interview in the field of my dream job. ",""
"Interior Designer","Female","White","20","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","with the AI interview it would be very easy to curate a perfect response whereas in person you wouldnt be able to fake it as easily","i think the AI interview is unique in a way that you wouldn't be judged for your race, gender, religion, or sexual orientation. i could see why that would be nice to completely get rid of that factor but i do think it would be way to easy to come off a lot more put together than one might actually be.","i think it could be inaccurate because you can fake all your answers when in reality you may not be fit for the job. also human interaction is crucial for working in a space so it would be important to see how someone interacts with you in the interview.","it was straight forward, easy to understand","n/a","n/a i liked this study a lot, I'm actually pretty passionate about it, this is very interesting to think about","i could see AI interviews becoming a thing for sure",""
"Chief Engineer","Male","White","18","Student","High School or GED","Somewhat familiar","Yes","Somewhat familiar","The fact that the interveiw was conducted by a computer program. There was little to no human interaction.","No","An AI can't read a persons body language or how excited they are about the job.  ","It made since I would just rather be a face to face.","None","Nothing","Possibly, I think it would depend on who is running the company.",""
"fashion business owner","Male","White","19","Student","Some college, but no degree","Somewhat familiar","No","Somewhat familiar","","My identity most likely could be threatened or be a cause for being treated differently by human judgement, but this would most likely not occur with AI.","","","","","I potentially will experience both processes",""
"Owner and Veterinarian of Vet hospital ","Female","White","19","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","The AI interview appears to not treat those interviewing as worthy of human contact and time. ","Human could have an error depending on the views of the interviewer but AI could have an issue with someone with a deformity on their face. ","Neither interview would prove what you can do in a Job the only way to see some ones ability is to see how they work. ",NA,"perceivable body language in the human interview (if right off the batt they liked you or not) ","I would include names as it plays a role in peoples choices for what job they will choose. ","no ",""
"PR Representative for 5-star restaurant ","Female","White","22","Employed part time,Student","Some college, but no degree","Very familiar","Yes","Very familiar","Not enough two way communication in the AI interview and expressions and body language of the interviewee were not able to be accounted into their answer","Yes, my excitement and enthusiasm for the job position could be threatened a little ","Gives a very plain view with no personality added to the interviewee's responses which especially isn't good for PR ","The interview process was very easy to understand for me.","Maybe a part where the interviewer asks the interviewee to tell him or her a little bit about themselves before they start asking questions. I've always been asked that in my interviews. ","Have the interviewer ask the interviewee to tell them a little bit about themselves before he/she asks the questions.","yes",""
"Orthopedic Surgeon ","Female","Other","22","Employed part time,Student,Disabled","Some college, but no degree","Somewhat familiar","No","Unfamiliar","For the virtual interview, I really liked how it was set up to be flexible to people's schedules and accommodating varying levels of comfort among potential applicants because of the absence of a live interviewer. However, this is also one of my primary concerns with this type of interview process. There's no way to ask questions in real time, and one would have to jot down their questions as they arose when answering their questions. It could also cause confusion— does the applicant reach out with these questions immediately after their interview is submitted? Does this opportunity occur only after the company has decided to proceed to the next stage of the interview process with you? Or do they transition to an instant two-way style communication method only after you're offered a job? Additionally, some possible return questions could make an applicant feel awkward or wary of writing them in an email to their HR department— such as salary negotiation, workplace moral and environment, etc. Body language is a hugely important factor in feeling you've received a truthful response to these type of questions. In a live interview, you're able to get a feel of what the interviewee is truly saying, an unspoken language, where the choice of words used do not carry as much weight as the ones unsaid. While there are benefits to the offline, self-paced interview, it can also seem a bit cold... an applicant could feel like they're just one of the masses, not important enough for an employee to take the time to sit down and conduct it in person. It would leave me questioning the company's true intentions towards possibly hiring me— are they actively acknowledging the worth of my candidacy and what I would provide to their company? Are they wanting ME or are they just looking for someone to fill the open spot? Intention makes all the difference. ""Go where you're wanted, not tolerated!"" ","Yes","There were pros and cons to both types of interview processes. Some of the rating categories didn't make too much sense to me as I felt there wasn't enough information, and not being able to go back and read what the interview process was added another layer of difficulty","The interview chain of events story itself made sense to me, but the subsequent questions did not. For example, ones about ""competitiveness"" and such like that, I'm not sure if I was supposed to just guess based on how quickly they said they'd get back to me? I think if it was in a true story format (made up characters for the interviewer/interviewee) it would've made it easier for me to understand, and generate better answers from my end!","Nuances and details. I would've hoped for some examples from the hypothetical situation. ","More detail in both the story and the explanations for how we're supposed to be answering the questions. I think it could be beneficial for it to be a list for a couple different professions (rather than an open-ended write in) and depending on what someone chose, it would take you to a more tailor made ""story."" For example, my dream job is in the medical field, and the language used was much too generalized for it to make much sense to me when answering the questions listed.","Both",""
"Pediatric Physician Assistant","Female","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","none","I think they could be threatened by both ","I feel like just answering questions does give an accurate representation of all my skills and abilities ","the interview process did make sense","none","nothing","I think I would experience a human interview if i were applying for my dream job in the real world","n/a"
"Elementary Education Teacher","Female","White","18","Employed part time","Bachelor's Degree","Unfamiliar","Yes","Somewhat familiar","None really gave me any concerns","No","I think one needs an opportunity to be put fully in the work place for a considerable amount of time to be accurately assessed","Yes","None was missing I don't think","Maybe allow for less questions and more real life scenarios","Yes",""
"Naval Officer","Female","White","19","Unemployed not looking for work,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","The AI interview process does not give employers the ability to evaluate the amount of charisma and people-skills an employee has. These are important qualities in teamwork and leadership for any work environment.","There is possible human judgment on my being female, which AI would likely not factor into a decision.","I do not think it was an accurate assessment of my ability because it did not take into account my personality and how I interact with humans.","I felt that it was very easy to understand. However, it would be helpful to be able to go back to the story and reread to get the full detials.","None","","No, going into the Navy does not involve interviews.",""
"My dream job would ideally be managing the production of either new technology or medicine geared towards improving the welfare of animals.","Female","Asian","19","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","Using AI to conduct the hypothetical interview seems impersonal -- the company that you're interviewing for doesn't necessarily want to take the time to meet the people who will potentially be working for them.","I believe both could be threatening to one's identity. AI has very specific programming to identify key words, phrases, etc. that may not give an individual a fair opportunity to be considered if they don't utilize that particular vocabulary. All humans have a somewhat automatic response to make assumptions about others based off of their appearance first and foremost. I think both have their own level of bias encoded in their process. ","As mentioned before, the company that used AI for the interview process wouldn't be my top choice because it was very impersonal and almost test-like. I don't think it gives an individual a fair chance at being considered for the job. The company that had the human interviewing process felt more congenial.","I think both interview processes were explained well -- very simple and forward. ","I think both had ample information provided to complete the questions.","","yes",""
"Cybersecurity in the Department of Defense","Male","White","19","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The AI interview was concerning because it did not feel as personal","no","I think that interviews only show part of a person's abilities to complete a job, so interviews do have some merit but it is not always a good indicator of job performance","yes","none","nothing","yes",""
"Data Scientist/Analyst ","Female","Asian","18","Student","Bachelor's Degree","Somewhat familiar","No","Somewhat familiar","N/A","Race by human ","I think the interview was somewhat accurate since it is AI based therefore a really minimal bias or none would have an impact. But the AI interviews does not give any option to ask questions. Also, for some skills or personalities, cannot be best shown or acknowledged by answer questions correctly.   ","it all made sense","n/a","if i can go back and reread the stories that'd be helpful. ","I think I would experience both. As the rapid growth of technology, more and more AI interviews are getting more relevant and common as they are less time-consuming. ",""
"General manager for a pro sports team","Male","White","19","Employed part time,Student","High School or GED","Familiar","Yes","Very familiar","none","no","5","yes","none","nothing","no",""
"Architect","Female","White","19","Unemployed looking for work","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","This sounds silly, but the second interview felt very bland. I work in food service, and prefer for my interviews to be a bit more conversational, and interacting with the job and interviewer.","No idea","For the second interview? I felt that the employer would have ample time to meet and assess me and my skills. They would be able to give me real time feedback and their own experiences employed at the company. They could also evaluate my personal skills, review concerns, etc. I do feel that interview was an accurate way to assess an employee's abilities, especially in combination with a strong resume and cover letter.","Honestly it made a lot of sense, the only thing that threw me was one or two of the questions meant to ensure participants were paying attention were like ""select agree"" and I wasn't sure which agree to go with.","N/A","","Most likely, although I would be much more skeptical of the AI one",""
"Graphic Designer","Female","White","19","Student","High School or GED","Very unfamiliar","Yes","Familiar","n/a","no","the online interview process restricted creativity and freedom","yes it was easy to understand","n/a","nothing","I would prefer in person interview because it is a better judgment of character",""
"Music producer","Male","White","18","Student","Some college, but no degree","Familiar","No","Somewhat unfamiliar","The programmers that create the AI will be pursuing a very specific type of employee that fits their business. I believe deviance and variety in the workplace is needed for the morality of a business. Both interview results can be vulnerable to personal bias.","Yes","The idea of an AI assigning worth to a human in a workplace is alarming. The morals of creating such a program sounds heavily problematic.","Yes, both scenarios were easy to understand.","How an AI would determine your ""score""","More descriptions of how the AI works to determine results","Yes, I believe some parts of the application process are automated nowadays.",""
"Software development engineer at Apple","Female","Other","19","Student","Some college, but no degree","Somewhat unfamiliar","No","Somewhat familiar","","no","because they gave you the chance to really think through your answers and change them if you did not like them so you had time to word the answers better than you would do if it was a face to face interview","It does makes sense","nothing was missing","nothing","I dont think so, most interviews as of right now are done by a human ",""
"Walt Disney Imagineer","Female","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","hard to demostrate skills in that setting","yes because if i am nervous and awkward the ai might pick up on that and judge me poorly and not everything about a person can be based on how they can record on video","it only shows extroverted people skills, any introvert or other person uncomfortable or nervous would not be able to demonstrate thier full skills. also i am a desiner and its hard to communicate those skills in a verbal interview","no it worked well except i had a prechosen dream job with a specific company so all the quetions asking about my opinion on the company were hard to separate form the dream company","should specify dream job and not a compnay cause that confused me","specifc between dream positon and dream job/company","most likely",""
"Pediatrician ","Female","White","18","Student","Some college, but no degree","Unfamiliar","Yes","Somewhat unfamiliar","Basing how well the interview went based strictly off a score is concerning for me. ","Yes","The first interview only assessed answers and not actual potential and work effort. Without a personal connection, it's hard to see how you would fit in with a company. ","Yes, it made sense.","None. ","More detailed instructions for open-ended questions. ","I would definitely experience a human interview process and possibly an AI interview in the future.",""
"Event planner","Female","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","The first one leaves room for bias, but so does the second as whoever created the AI may have some bias in what they have the AI look for in candidates responses. Second interview doesn't offer much room for questions about the company and position. ","Unsure. Could be a possibility. ","The first interview did feel like a more accurate assessment because you’re able to show that you're charismatic or a good people person, which can be important in a lot of job fields. On the flip side, in other fields how charismatic you are has no affect on the actual job you're applying for, in which case there is no real display of your skill unless you bring a portfolio or something similar happens in the interview room. With the second interview, unless the questions are skill based and not personality based, it doesn't allow you to show skill nor communication adeptness. ","Yes, it made perfect sense. ","N/A. ","N/A, very detailed and easy to follow.","I would most likely only experience human interview processes. The only situations I could imagine an AI interview taking place would be for fields that are heavy in technology, for example a coding company may administer an interview that is more of an exam/skill based by asking interviewees to complete a code or something of that nature. ",""
"Lawyer","Female","White","18","Student","Some college, but no degree","Somewhat familiar","No","Familiar","The first interview gave me some concern with the interviewer writing out my answers because I don't know if they would be biased or not. Despite nothing being written about my appearance, they could still potentially write down more negative things. However the opportunity to ask the interviewer questions and for clarification helped alleviate those concerns. The AI interview gave me more concern because there was no chance to ask what the algorithm considers a good or bad response. I could talk to the company, but not having that opportunity during the interview seems very concerning. Also it does not seem like the company seems very personable or like they value their employees considering they won't even meet with me in real life.","The words and dialect I use could be misinterpreted by the AI algorithm and a human may be biased towards my race or gender based off of what type of candidate they see most fit for the job.","Both offered similar opportunities to answer the questions, but the AI one seems much more likely to have error and makes the company seem a lot less personable and reputable. ","It made perfect sense and the bullets as the step by step process really helped understand the process.","What sort of position in the company did the human interviewer have? That may impact performance.","Break the ratings up into smaller sections so it is easier to bubble/select the answers without having to scroll back to the top.","I definitely will experience the human interviews and I am sure as technology progresses I could also have an AI, especially in a more tech-related field.","I found this study very interesting and easy to get into the story because it could really apply to me as a seek out a career."
"Security Architect","Male","White","19","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The artificial intelligence concept of interviewing a person for a job immediately makes me feel like the company is not interested in getting to know the employees just whatever they can provide.","Potentially","In person gives me an opportunity to communicate with a person about the job I am applying for, where an AI is programmed to do a task. The pros and cons is that you know AI does not have a bias, where a human could. ","It was well wrote and straight forward.","None.","None.","I have never even considered the idea of an AI interview.","None."
"Logo Designer ","Male","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","Not having an in person interview does not give you a personal connection to the interviewer or the company. It can also believe that it is hiring someone good when they only know how to work their way around the system. ","Yes","I don't feel its accurate because if you are given time to think about the answer and multiple chances to say it then you are going to focus on giving the answer they want to hear not the answer you would actually say. ","Yes it made sense ","None ","Nothing","Yes I would give both a try",""
"accountant","Female","Asian","18","Student","Some college, but no degree","Somewhat unfamiliar","No","Unfamiliar","nothing","AI may not know me better than Human","Using AI to interview, may not really know what I thought, it just know some works I said during the interview","Yes, the story make sense to me","nothing I think","nothing","In the real world, I prefer human interviewer",""
"Certified Nurse Midwife","Female","Black or African American","21","Employed part time,Student","Some college, but no degree","Familiar","Yes","Familiar","I was concerned with the AI interview because there was no place to get my questions answered and it scored the interview based on the purely content coming from your mouth which can be studied and perfectly said to score high in the interview. The Traditional interview was slightly concerning because emotional factors such as anxiousness or forgetting of concepts while on the spot can lead to a lower score.","I don't think there will be.","For the AI interview, it is based only on your ability to hit key words while the Traditional interview showcases your emotions and skillset. In the AI interview, I did like the fact that I can rerecord my answers until I felt that they were good enough.","Both made perfect sense to me. ","I felt no information was missing.","I can't think of anything that needed changing. This study seems detailed and accurate.","Given the type of job I envisioned, it would be the Traditional Interview.",""
"Legal correspondent on the news","Female","Black or African American","20","Student","High School or GED","Somewhat familiar","Yes","Very familiar","The virtual interview should be able to make any candidate look good since one can rerecord it as many times as they please. You just have to be able to give a good answer, but also in a live in-person interview responses to questions can change the path of the interview.","Yes, my race and gender.","The virtual interview does not allow for the same emotional connection you can share in-person by being around someone. I can't display my personality and charm through a camera to the full extent I could if it was an in-person interview.","Yes, it made sense. I think the rating statements are confusing as I wasn't clear on how I would know if the company had strong values, or if I would be open to learning more about the company. I say this because as a potential employee one should know about the company already.","Details about the dream company. Maybe there could've been a hypothetical dream job.","Creating a hypothetical dream job and a story that incorporates the statement phrases, so participants can rate adequately.","Most likely AI, due to convenience it provided during the pandemic and continues to provide.",""
"UPS Cargo Plane Pilot","Male","White","19","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","IN the second how you couldn't ask questions until the end.","No","Depends on the job some jobs they actually need to see what I can do instead of just asking questions.","Yes","If it was our own dream job or just how the interview process was explained in general.","Give two different job interviews of an actual company.","I would prefer human.",""
"High School Teacher","Female","White","19","Employed part time,Student","Some college, but no degree","Unfamiliar","Yes","Somewhat familiar","","no","I felt that the first interview would have been more efficient. In the second one, you can have multiple tries to show the interviewer who you want them to see and can delete what you say if it didn't come out right, which seems very dishonest to me.","It made sense.","","","If I were applying for my dream job, I would probably attend both interviews.",""
"psychiatrist","Male","Asian","19","Student","Some college, but no degree","Familiar","No","Familiar","","no","A person was not present during the process which made the overall process less engaging","the interview process made sense","","","yes",""
